title,authors,publishedDate,categories,averageRating,ratingsCount,description,pageCount,language,previewLink,query
Deep Learning,"['Ian Goodfellow', 'Yoshua Bengio', 'Aaron Courville']",2016-11-18,['Computers'],3.5,6.0,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives. “Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.” —Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.",801.0,en,http://books.google.co.in/books?id=Np9SDQAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=1&source=gbs_api,machine learning
Machine Learning with PyTorch and Scikit-Learn,"['Sebastian Raschka', 'Yuxi (Hayden) Liu', 'Vahid Mirjalili']",2022-02-25,['Computers'],,,"This book of the bestselling and widely acclaimed Python Machine Learning series is a comprehensive guide to machine and deep learning using PyTorch s simple to code framework. Purchase of the print or Kindle book includes a free eBook in PDF format. Key Features Learn applied machine learning with a solid foundation in theory Clear, intuitive explanations take you deep into the theory and practice of Python machine learning Fully updated and expanded to cover PyTorch, transformers, XGBoost, graph neural networks, and best practices Book DescriptionMachine Learning with PyTorch and Scikit-Learn is a comprehensive guide to machine learning and deep learning with PyTorch. It acts as both a step-by-step tutorial and a reference you'll keep coming back to as you build your machine learning systems. Packed with clear explanations, visualizations, and examples, the book covers all the essential machine learning techniques in depth. While some books teach you only to follow instructions, with this machine learning book, we teach the principles allowing you to build models and applications for yourself. Why PyTorch? PyTorch is the Pythonic way to learn machine learning, making it easier to learn and simpler to code with. This book explains the essential parts of PyTorch and how to create models using popular libraries, such as PyTorch Lightning and PyTorch Geometric. You will also learn about generative adversarial networks (GANs) for generating new data and training intelligent agents with reinforcement learning. Finally, this new edition is expanded to cover the latest trends in deep learning, including graph neural networks and large-scale transformers used for natural language processing (NLP). This PyTorch book is your companion to machine learning with Python, whether you're a Python developer new to machine learning or want to deepen your knowledge of the latest developments.What you will learn Explore frameworks, models, and techniques for machines to learn from data Use scikit-learn for machine learning and PyTorch for deep learning Train machine learning classifiers on images, text, and more Build and train neural networks, transformers, and boosting algorithms Discover best practices for evaluating and tuning models Predict continuous target outcomes using regression analysis Dig deeper into textual and social media data using sentiment analysis Who this book is for If you have a good grasp of Python basics and want to start learning about machine learning and deep learning, then this is the book for you. This is an essential resource written for developers and data scientists who want to create practical machine learning and deep learning applications using scikit-learn and PyTorch. Before you get started with this book, you’ll need a good understanding of calculus, as well as linear algebra.",775.0,en,http://books.google.co.in/books?id=SVxaEAAAQBAJ&pg=PP1&dq=machine+learning&hl=&cd=2&source=gbs_api,machine learning
The Hundred-page Machine Learning Book,['Andriy Burkov'],2019,['Machine learning'],,,Provides a practical guide to get started and execute on machine learning within a few days without necessarily knowing much about machine learning.The first five chapters are enough to get you started and the next few chapters provide you a good feel of more advanced topics to pursue.,141.0,en,http://books.google.co.in/books?id=ZF3KwQEACAAJ&dq=machine+learning&hl=&cd=3&source=gbs_api,machine learning
Interpretable Machine Learning,['Christoph Molnar'],2020,['Computers'],4.5,2.0,"This book is about making machine learning models and their decisions interpretable. After exploring the concepts of interpretability, you will learn about simple, interpretable models such as decision trees, decision rules and linear regression. Later chapters focus on general model-agnostic methods for interpreting black box models like feature importance and accumulated local effects and explaining individual predictions with Shapley values and LIME. All interpretation methods are explained in depth and discussed critically. How do they work under the hood? What are their strengths and weaknesses? How can their outputs be interpreted? This book will enable you to select and correctly apply the interpretation method that is most suitable for your machine learning project.",320.0,en,http://books.google.co.in/books?id=jBm3DwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=4&source=gbs_api,machine learning
Mathematics for Machine Learning,"['Marc Peter Deisenroth', 'A. Aldo Faisal', 'Cheng Soon Ong']",2020-04-23,['Computers'],5.0,1.0,"Distills key concepts from linear algebra, geometry, matrices, calculus, optimization, probability and statistics that are used in machine learning.",391.0,en,http://books.google.co.in/books?id=pFjPDwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=5&source=gbs_api,machine learning
Deep Learning for Coders with Fastai & PyTorch,"['Jeremy Howard (Scientist)', 'Sylvain Gugger']",2021,['Artificial intelligence'],,,,594.0,zh-CN,http://books.google.co.in/books?id=DNXXzgEACAAJ&dq=machine+learning&hl=&cd=6&source=gbs_api,machine learning
Grokking Machine Learning,['Luis Serrano'],2021-12-14,['Computers'],,,"Discover valuable machine learning techniques you can understand and apply using just high-school math. In Grokking Machine Learning you will learn: Supervised algorithms for classifying and splitting data Methods for cleaning and simplifying data Machine learning packages and tools Neural networks and ensemble methods for complex datasets Grokking Machine Learning teaches you how to apply ML to your projects using only standard Python code and high school-level math. No specialist knowledge is required to tackle the hands-on exercises using Python and readily available machine learning tools. Packed with easy-to-follow Python-based exercises and mini-projects, this book sets you on the path to becoming a machine learning expert. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Discover powerful machine learning techniques you can understand and apply using only high school math! Put simply, machine learning is a set of techniques for data analysis based on algorithms that deliver better results as you give them more data. ML powers many cutting-edge technologies, such as recommendation systems, facial recognition software, smart speakers, and even self-driving cars. This unique book introduces the core concepts of machine learning, using relatable examples, engaging exercises, and crisp illustrations. About the book Grokking Machine Learning presents machine learning algorithms and techniques in a way that anyone can understand. This book skips the confused academic jargon and offers clear explanations that require only basic algebra. As you go, you’ll build interesting projects with Python, including models for spam detection and image recognition. You’ll also pick up practical skills for cleaning and preparing data. What's inside Supervised algorithms for classifying and splitting data Methods for cleaning and simplifying data Machine learning packages and tools Neural networks and ensemble methods for complex datasets About the reader For readers who know basic Python. No machine learning knowledge necessary. About the author Luis G. Serrano is a research scientist in quantum artificial intelligence. Previously, he was a Machine Learning Engineer at Google and Lead Artificial Intelligence Educator at Apple. Table of Contents 1 What is machine learning? It is common sense, except done by a computer 2 Types of machine learning 3 Drawing a line close to our points: Linear regression 4 Optimizing the training process: Underfitting, overfitting, testing, and regularization 5 Using lines to split our points: The perceptron algorithm 6 A continuous approach to splitting points: Logistic classifiers 7 How do you measure classification models? Accuracy and its friends 8 Using probability to its maximum: The naive Bayes model 9 Splitting data by asking questions: Decision trees 10 Combining building blocks to gain more power: Neural networks 11 Finding boundaries with style: Support vector machines and the kernel method 12 Combining models to maximize results: Ensemble learning 13 Putting it all in practice: A real-life example of data engineering and machine learning",510.0,en,http://books.google.co.in/books?id=fNhOEAAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=7&source=gbs_api,machine learning
Foundations of Machine Learning,"['Mehryar Mohri', 'Afshin Rostamizadeh', 'Ameet Talwalkar']",2012-08-17,['Computers'],,,"Fundamental topics in machine learning are presented along with theoretical and conceptual tools for the discussion and proof of algorithms. This graduate-level textbook introduces fundamental concepts and methods in machine learning. It describes several important modern algorithms, provides the theoretical underpinnings of these algorithms, and illustrates key aspects for their application. The authors aim to present novel theoretical tools and concepts while giving concise proofs even for relatively advanced topics. Foundations of Machine Learning fills the need for a general textbook that also offers theoretical details and an emphasis on proofs. Certain topics that are often treated with insufficient attention are discussed in more detail here; for example, entire chapters are devoted to regression, multi-class classification, and ranking. The first three chapters lay the theoretical foundation for what follows, but each remaining chapter is mostly self-contained. The appendix offers a concise probability review, a short introduction to convex optimization, tools for concentration bounds, and several basic properties of matrices and norms used in the book. The book is intended for graduate students and researchers in machine learning, statistics, and related areas; it can be used either as a textbook or as a reference text for a research seminar.",427.0,en,http://books.google.co.in/books?id=-ijiAgAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=8&source=gbs_api,machine learning
An Introduction to Machine Learning,"['Gopinath Rebala', 'Ajay Ravi', 'Sanjay Churiwala']",2019-05-07,['Technology & Engineering'],,,"Just like electricity, Machine Learning will revolutionize our life in many ways – some of which are not even conceivable today. This book provides a thorough conceptual understanding of Machine Learning techniques and algorithms. Many of the mathematical concepts are explained in an intuitive manner. The book starts with an overview of machine learning and the underlying Mathematical and Statistical concepts before moving onto machine learning topics. It gradually builds up the depth, covering many of the present day machine learning algorithms, ending in Deep Learning and Reinforcement Learning algorithms. The book also covers some of the popular Machine Learning applications. The material in this book is agnostic to any specific programming language or hardware so that readers can try these concepts on whichever platforms they are already familiar with. Offers a comprehensive introduction to Machine Learning, while not assuming any prior knowledge of the topic; Provides a complete overview of available techniques and algorithms in conceptual terms, covering various application domains of machine learning; Not tied to any specific software language or hardware implementation.",275.0,en,http://books.google.co.in/books?id=u8OWDwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=9&source=gbs_api,machine learning
Approaching (Almost) Any Machine Learning Problem,['Abhishek Thakur'],2020-07-04,['Computers'],5.0,2.0,"This is not a traditional book. The book has a lot of code. If you don't like the code first approach do not buy this book. Making code available on Github is not an option. This book is for people who have some theoretical knowledge of machine learning and deep learning and want to dive into applied machine learning. The book doesn't explain the algorithms but is more oriented towards how and what should you use to solve machine learning and deep learning problems. The book is not for you if you are looking for pure basics. The book is for you if you are looking for guidance on approaching machine learning problems. The book is best enjoyed with a cup of coffee and a laptop/workstation where you can code along. Table of contents: - Setting up your working environment - Supervised vs unsupervised learning - Cross-validation - Evaluation metrics - Arranging machine learning projects - Approaching categorical variables - Feature engineering - Feature selection - Hyperparameter optimization - Approaching image classification & segmentation - Approaching text classification/regression - Approaching ensembling and stacking - Approaching reproducible code & model serving There are no sub-headings. Important terms are written in bold. I will be answering all your queries related to the book and will be making YouTube tutorials to cover what has not been discussed in the book. To ask questions/doubts, visit this link: https://bit.ly/aamlquestions And Subscribe to my youtube channel: https://bit.ly/abhitubesub",300.0,en,http://books.google.co.in/books?id=ZbgAEAAAQBAJ&pg=PA1&dq=machine+learning&hl=&cd=10&source=gbs_api,machine learning
